phenocode	name	num_cases	num_controls	gc_lambda	num_gw_significant
D3_ITP	Idiopathic thrombocytopenic purpura	304	174901	0.96227	1
D3_NONHEREDHYPOGAMMA	Nonhereditary hypogammaglobulinemia	116	174604	0.73648	0
D3_NUTRIANAEMIA	Nutritional anaemias	5695	171204	1.0273	4
D3_NUTRIANAEMIAOTHER	Other nutritional anaemias	113	171204	0.74443	0
D3_OTHERANAEMIA	Other anaemias	4337	172180	1.024	2
D3_OTHERBLOOD	Oher diseases of blood and blood-forming organs	530	174737	1.0331	2
D3_OTHERWHITECELL	Other disorders of white blood cells	501	174737	1.0164	1
D3_PURPURA_AND3_OTHER_HAEMORRHAGIC	Purpura and other haemorrhagic conditions	1347	174901	1.0297	0
D3_SARCOIDOSIS	Sarcoidosis	1527	174604	1.0508	1
D3_SCNDPOLYCYTHAEMIA	Secondary polycythaemia	149	174737	0.8101	0
D3_SPLEENDISEASE	Diseases of spleen	115	174737	0.75703	0
D3_THROMBOCYTOPENIANAS	Thrombocytopenia, unspecified	608	174901	1.0321	0
D3_VONVILLEBRAND	Von Willebrand disease	116	174901	0.77328	5
D3_WHITEBLOODCELLNAS	Other and unspecified disorders of white blood cells	358	174737	0.98469	0
DEATH	Any death	12786	164113	1.0369	0
DERMATOPOLY_FG	Dermatopolymyositis (FG)	146	141876	0.80849	4
DIABETES_FG	Diabetes, varying definitions	29176	147723	1.1588	45
DIS_THYROID_OTH	Other disorders of thyroid	136	173061	0.77992	0
DM_AION	AION (anterior ischemic optic neuropathy)	186	176341	0.8581	0
DM_BCKGRND_RETINA	Background diabetic retinopathy	1625	165660	1.0264	4
DM_BCKGRND_RETINA_NONPROLIF	Severe non-proliferative background diabetic retinopathy	345	165660	0.95503	2
DM_COMORB_EXMORE	Diabetes-related co-morbidities/complications (more controls excluded)	43872	120555	1.0698	9
DM_HYPOGLYC	Diabetic hypoglycemia	3065	133027	1.0216	4
DM_KETOACIDOSIS	Diabetic ketoacidosis	3793	133027	0.99163	7
DM_MACULOPATHY	Diabetic maculopathy	1408	171249	1.0475	4
DM_MACULOPATHY_EXMORE	Diabetic maculopathy (more controls excluded)	1408	147718	1.047	4
DM_NEOVASCULAR_GLAUCOMA	Neovascular glaucoma	403	165660	0.9986	0
DM_NEPHROPATHY	Diabetic nephropathy	2468	170499	1.0378	2
DM_NEPHROPATHY_EXMORE	Diabetic nephropathy (more controls excluded)	2468	147143	1.0354	2
DM_NEUROPATHY	Diabetic neuropathy	1125	133027	1.0484	2
DM_OPTHALMIC_COMORB	Diabetes, opthalmic co-morbidities	426	142853	1.008	0
DM_OTHER_WIDE	Other diabetes, wide definition	24662	144670	1.1499	40
DM_PERIPHATHERO	Peripheral atherosclerosis	4933	133027	1.0426	3
DM_PERIPH_ANGIOPATHY	Peripheral angiopathy	151	133027	0.80448	1
DM_POLYNEURO	Diabetic polyneuropathy	267	175774	0.94201	1
DM_RETINA_NOS	Unspecified diabetic retinopathy	1386	165660	1.0412	3
DM_RETINA_PROLIF	Proliferative diabetic retinopathy	6861	165660	1.0283	5
DM_RETINOPATHY	Diabetic retinopathy	11239	164092	1.0335	7
DM_RETINOPATHY_EXMORE	Diabetic retinopathy (more controls excluded)	11239	142853	1.0364	6
DM_RET_VEIN_OCCLU	Retinal vein occlusion (central or branch)	285	147723	0.94245	0
DM_SEVERAL_COMPLICATIONS	Diabetes, several complications	5090	133027	1.0374	6
DM_VITREOUS_BLEEDING	Vitreous bleeding (caused by prolif. dmrp when together with H36.03*)	1009	165660	1.0402	1
DRY_AMD	Dry age-related macular degeneration (includes geographic atrophy)	1825	167177	1.0378	7
E4_ACIDOSIS	Acidosis	128	160461	0.74861	0
E4_ADDISON	Adrenocortical insufficiency	287	171017	0.95323	0
E4_ADRENAL	Other disorders of adrenal gland	373	171017	0.99302	0
E4_AMYLNAS	Amyloidosis, other/unspecified	137	160461	0.74747	10
E4_AMYLOIDOSIS	Amyloidosis	175	160461	0.82385	9
E4_CARCISDR	Carcinoid syndrome	117	171017	0.74519	0
E4_CA_MET	Disorders of calcium metabolism	501	160461	1.0197	1
E4_CONGEIOD	Congenital iodine-deficiency syndrome/hypothyroidism	270	152762	0.94648	0
E4_CUSHING	Cushing syndrome	122	171017	0.77094	0
E4_DIABETES	Diabetes mellitus	28709	148190	1.1567	47
E4_DIABINSIPIDUS	Diabetes insipidus	114	171017	0.74861	0
E4_DISPUB	Disorders of puberty	156	171017	0.82426	0
E4_DM1	Type 1 diabetes	4933	148190	0.9972	15
E4_DM1COMA	Type 1 diabetes with coma	1055	148190	1.0103	4
E4_DM1KETO	Type 1 diabetes with ketoacidosis	1092	148190	1.0164	5
E4_DM1NASCOMP	Type 1 diabetes with other specified/multiple/unspecified complications	2775	148190	1.0098	12
E4_DM1NEU	Type 1 diabetes with neurological complications	461	148190	1.0089	1
E4_DM1NOCOMP	Type 1 diabetes without complications	4129	148190	0.98192	13
E4_DM1OPTH	Type 1 diabetes with ophthalmic complications	2339	148190	0.98146	9
E4_DM1PERIPH	Type 1 diabetes with peripheral circulatory complications	303	148190	0.95232	2
E4_DM1REN	Type 1 diabetes with renal complications	782	148190	1.035	3
E4_DM1_STRICT	Type 1 diabetes, strict (exclude DM2)	2265	148605	0.97275	7
E4_DM2	Type 2 diabetes	26029	148190	1.1819	57
E4_DM2COMA	Type 2 diabetes with coma	1851	148190	1.047	2
E4_DM2KETO	Type 2 diabetes with ketoacidosis	267	148190	0.93443	2
E4_DM2NASCOMP	Type 2 diabetes with other specified/multiple/unspecified complications	19165	148190	1.165	42
E4_DM2NEU	Type 2 diabetes with neurological complications	725	148190	1.035	0
E4_DM2NOCOMP	Type 2 diabetes without complications	11360	148190	1.1026	15
E4_DM2OPTH	Type 2 diabetes with ophthalmic complications	1703	148190	1.035	2
E4_DM2PERIPH	Type 2 diabetes with peripheral circulatory complications	820	148190	1.0475	3
E4_DM2REN	Type 2 diabetes with renal complications	1020	148190	1.0475	0
E4_DM2_STRICT	Type 2 diabetes, strict (exclude DM1)	23338	148190	1.1708	45
E4_DMNAS	Unspecified diabetes	2863	148190	1.0455	5
E4_DMNASNASCOMP	Unspecified diabetes with multiple/unspecified complications	361	148190	0.98931	0
E4_DMNASNOCOMP	Unspecified diabetes without complications	897	148190	1.045	1
E4_ENDODIS	Other endocrine disorders	567	171017	1.0164	0
E4_ENDODISNAS	Endocrine disorders, other/unspecified	220	171017	0.86649	0
E4_ENDOGLAND	Disorders of other endocrine glands	5882	171017	1.0188	0
E4_ENDOMETPOSTOP	Postprocedural endocrine and metabolic disorders, not elsewhere classified	1061	160461	1.0533	3
E4_ENDONUTRMET	Endocrine, nutritional and metabolic diseases	61193	115706	1.1376	21
E4_FLUIDELECTRO	Other disorders of fluid, electrolyte and acid-base balance	3014	160461	1.024	1
E4_GLUCOPANCREAS	Other disorders of glucose regulation and pancreatic internal secretion	1012	175887	1.045	2
E4_GOITREDIFF	Nontoxic diffuse goitre	377	152762	0.9972	0
E4_GOITREMULTINOD	Nontoxic multinodular goitre	2728	152762	1.0359	17
E4_GOITRENAS	Other and/or unspecified nontoxic goitre	977	152762	1.046	3
E4_GOITRENOD	Nontoxic single thyroid nodule	886	152762	1.0393	0
E4_HYPERALDO	Hyperaldosteronism	255	171017	0.93532	0
E4_HYPERCHOL	Pure hypercholesterolaemia	6840	160461	1.0446	12
E4_HYPERGLYCER	Pure hyperglyceridaemia	177	160461	0.86061	2
E4_HYPERKALAEMIA	Hyperkalaemia	390	160461	0.99395	0
E4_HYPERLIPMIX	Mixed hyperlipidaemia	391	160461	1.0061	0
E4_HYPERLIPNAS	Hyperlipidaemia, other/unspecified	3630	160461	1.0321	3
E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	106	160461	0.72113	0
E4_HYPERPARA	Hyperparathyroidism	2403	171017	1.0302	0
E4_HYPERPIT	Hyperfunction of pituitary gland	585	171017	1.0311	0
E4_HYPERPRO	Hyperprolactinaemia	452	171017	1.0098	0
E4_HYPODRUG	Drug-induced hypoglycaemia without coma	174	175887	0.85434	1
E4_HYPOGLYC	Hypoglycaemia, other or unspecified	767	175887	1.046	1
E4_HYPOKALAEMIA	Hypokalaemia	993	160461	1.0431	0
E4_HYPOOSMNAT	Hypo-osmolality and hyponatraemia	1648	160461	1.0292	0
E4_HYPOPARA	Hypoparathyroidism	369	171017	0.9907	1
E4_HYPOPIT	Hypopituitarism	680	171017	1.0283	0
E4_HYTHYNAS	Hypothyroidism,other/unspecified	20360	152762	1.1177	43
E4_IRON_MET	Disorders of iron metabolism	101	160461	0.66924	11
E4_LACTONAS	Lactose intolerance, other/unspecified	310	160461	0.96409	5
E4_LACTOSEINT	Lactose intolerance	354	160461	0.98885	5
E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias	11042	160461	1.0533	21
E4_LIPOPROTNAS	Disorder of lipoprotein metabolism, unspecified	1362	160461	1.0518	1
E4_MALNUTRITION	Malnutrition	130	176769	0.77133	0
E4_METABO	Other metabolic disorders	1167	160461	1.0499	4
E4_METABOLIA	Metabolic disorders	16438	160461	1.0504	13
E4_MINERAL_MET	Disorders of mineral metabolism	685	160461	1.0484	2
E4_NUTRIDEF	Other nutritional deficiencies	6696	170203	1.0901	1
E4_OBESITY	Obesity	6523	170323	1.0896	5
E4_OBESITYCAL	Obesity due to excess calories	4272	170376	1.0708	1
E4_OBESITYNAS	Obesity, other/unspecified	3489	170376	1.064	2
E4_OBESITYXTRMALV	Extreme obesity with alveolar hypoventilation	303	170376	0.95684	0
E4_OBESITY_HYPER	Obesity and other hyperalimentation	6576	170323	1.0891	3
E4_OVARDYS	Ovarian dysfunction	665	96172	1.0335	1
E4_OVARFAIL	Primary ovarian failure	162	96172	0.83817	1
E4_PARATHYRO	Disorders of parathyroid gland	2714	171017	1.0288	0
E4_POCS	Polycystic ovarian syndrome	462	96172	1.0193	3
E4_PORBILIR	Disorders of porphyrin and bilirubin metabolism	112	160461	0.73459	1
E4_SHORT	Short stature, not elsewhere classified	186	171017	0.87537	0
E4_TESTICHYPO	Testicular hypofunction	180	74845	0.85309	0
E4_TESTIDYS	Testicular dysfunction	203	74845	0.87835	0
E4_THYROID	Disorders of the thyroid gland	24137	152762	1.1066	32
E4_THYROIDITAUTOIM	Autoimmune thyroiditis	197	152762	0.88774	0
E4_THYROIDITNAS	Thyroiditis, unspecified	170	152762	0.84065	1
E4_THYROIDITSUBAC	Subacute thyroiditis	325	152762	0.97366	1
E4_THYROIDNASOTH	Disorder of thyroid, unspecified	132	152762	0.78463	0
E4_THYTOXGOITDIF	Thyrotoxicosis with diffuse goitr	1712	152762	1.0374	8
E4_THYTOXGOITMULT	Thyrotoxicosis with toxic multinodular goitre	612	173823	1.0407	3
E4_THYTOXNAS	Thyrotoxicosis, other and/or unspecified	2268	152762	1.045	5
E4_VIT_B_DEF	Deficiency of other B group vitamins	229	170203	0.91153	1
E4_VIT_DEF	Vitamin deficiency	470	170203	1.0288	1
E4_VIT_D_DEF	Vitamin D deficiency	124	170203	0.76165	0
E4_VOLUME	Volume depletion	766	160461	1.0269	0
ENCEPHALITIS	Encephalitis	281	50989	0.94962	1
ERECTILE_DYSFUNCTION	Erectile dysfunction	890	75623	1.0455	3
ESOSINOPHIL_DISEASE	Eosinophilic disease (BM)	139	114589	0.79491	0
F5_ADHD	Disturbance of activity and attention	539	174749	1.0288	0
F5_ALCOHOL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	8474	166915	1.0743	1
F5_ALCOHOLAC	Acute alcohol intoxication	3584	166915	1.0494	2
F5_ALCOHOL_DEPENDENCE	Alcohol dependence	4502	166915	1.0547	1
F5_ALLANXIOUS	All anxiety disorders	9258	161390	1.0523	0
F5_ALZHDEMENT	Dementia in Alzheimer disease	1782	169744	1.0393	5
F5_ANAPER	Anankastic personality disorder	361	171894	0.987	1
F5_ANOREX	Anorexia (incl.atypical)	807	173440	1.0326	0
F5_ANXIETY	Other anxiety disorders	6188	161390	1.0441	0
F5_ANXPER	Anxious personality disorder	206	171894	0.86945	0
F5_AUTISM	Autism	213	175519	0.8916	1
F5_BEHAVE	Behavioural syndromes associated with physiological disturbances and physical factors	3459	173440	1.0019	1
F5_BEHEMOCHILD	Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence	2150	174749	1.0321	0
F5_BEHEMOTH	Other behavioural and emotional disorders with onset usually occuring in childhood and adolescence	631	174749	1.0335	0
F5_BIPO	Bipolar affective disorders	3385	156611	1.0212	1
F5_BULIMIA	Bulimia nervosa (incl. atypical)	400	173440	1.0065	0
F5_CANNABIS	Mental and behavioural disorders due to cannabinoids	443	174101	0.99627	0
F5_CONDUCT	Conduct disorder	283	174749	0.94111	0
F5_CONDUCTEMO	Mixed disorders of conduct and emotions	309	174749	0.95368	0
F5_DELIRIUM	Delirium, not induced by alcohol and other psychoactive substances	921	169744	1.0369	1
F5_DELUSIO	Persistent delusional disorders	1347	168900	1.0117	0
F5_DEMENTIA	Dementia	5675	169744	1.0321	7
F5_DEMINOTH	Dementia in other diseases classified elsewhere	486	169744	1.0193	0
F5_DEMNAS	Unspecified dementia	1384	169744	1.0359	2
F5_DEPPER	Dependent personality disorder	322	171894	0.95458	0
F5_DEPRESSIO	Depression	17794	156611	1.0747	2
F5_DISPER	Dissocial personality disorder	275	171894	0.92557	0
F5_DISSOCIATIVE	Dissociative [conversion] disorders	504	161390	1.0136	0
F5_Dementia_U	Undefined dementia	1383	172992	1.0393	2
F5_Dementia_U_EXMORE	Undefined dementia (more controls excluded)	1383	93979	1.0288	2
F5_EATING	Eating disorders	1427	175472	1.025	1
F5_EATOTH	Other eating disorders	619	173440	1.0326	0
F5_EMOCHILD	Emotional disorders and disorders of social functioning with onset specific to childhood	659	174749	1.0145	0
F5_EMOPER	Emotionally unstable personality disorder	1946	171894	1.0547	0
F5_GAD	Generalized anxiety disorder	1554	161390	1.0407	0
F5_HABIT	Habit and impulse disorders	199	171894	0.87877	1
F5_HYPERKIN	Hyperkinetic disorders (excl. ADHD)	172	174749	0.83038	0
F5_KELAMENT	Kela-cod for severe mental illness	8952	167277	1.0393	2
F5_KELARET	Kela-code for behavioural disturbances in mental retardation	116	176324	0.72336	0
F5_MANIA	Manic episode	506	156611	1.0183	0
F5_MENTALUNSPE	Mental disorders, not otherwise specified	1152	167277	1.0383	0
F5_MENTORG	Other mental disorders due to brain damage and dysfunction and to physical disease	1085	169744	1.0354	1
F5_MENTPUER	Mental and behauvioural disorders associated with the puerperium	158	173440	0.81817	0
F5_MENTRET	Mental retardation	575	176324	1.0273	2
F5_MILDRET	Mild mental retardation	381	176324	0.98008	0
F5_MIXEDDEV	Mixed specific developmental disorders	177	175519	0.84478	0
F5_MIXPER	Mixed and other personality disorders	1277	171894	1.0374	0
F5_MOOD	Mood [affective] disorders	20288	156611	1.0836	2
F5_MOODOTH	Other and unspecidied mood [affective] disorders	929	156611	1.0273	1
F5_MOTOR	Specific developmental disorder of motor function	163	175519	0.84892	0
F5_NEUROTIC	Neurotic, stress-related and somatoform disorders	15509	161390	1.0615	0
F5_NEUROTICOTH	Other neurotic disorders	802	161390	1.0388	0
F5_OCD	Obsessive-compulsive disorder	790	161390	1.0354	0
F5_OPIOIDS	Mental and behavioural disorders due to opioids	428	174101	1.0089	1
F5_ORGANIC	Organic, including symptomatic, mental disorders	7155	169744	1.0226	6
F5_OTHERSUB	Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psycoactive substances	1119	174101	1.0311	0
F5_OTHPER	Other specified and unspecified personality disorders	1563	171894	1.0302	0
F5_OTHRET	Other and unspecified mental retardation	170	176324	0.82997	0
F5_PANIC	Panic disorder	1760	161390	1.0283	0
F5_PARAPER	Paranoid personality disorder	290	171894	0.9331	0
F5_PERSBEHORG	Personality and behavioural disorders due to brain disease, damage and dysfunction	189	169744	0.85225	0
F5_PERSMOOD	Persistent mood disorders	3021	156611	1.0278	0
F5_PERSOBEH	Disorders of adult personality and behaviour	5005	171894	1.0426	1
F5_PERSONALITY	Specific personality disorders	4126	171894	1.0388	0
F5_PERVASIVE	Pervasive developmental disorders excl. Autism + Asperger	107	175519	0.74481	0
F5_PHOBANX	Phobic anxiety disorders	1642	161390	1.0264	0
F5_PHYSBEHOTH	Unspefcified behauvioural syndromes associated with physiological disturbances and physical factors +Phsyiological and behauvioural factors associated with disorders of diseases classified elsewhere	192	173440	0.87029	0
F5_PSYCH	Psychiatric diseases	41704	135195	1.0981	1
F5_PSYCHDEV	Disorders of psychological developtment	1380	175519	1.0378	0
F5_PSYCHDEVOTH	Other and unspecified disorders of psychological development	129	175519	0.76822	0
F5_PSYCHOTH	Other and unspecified nonorganic psychotic disorders	4609	168900	1.0061	0
F5_PSYTRANS	Acute and transient psychotic disorders	2628	168900	0.99953	0
F5_PTSD	Post-traumatic stress disorder	781	161390	1.0402	0
F5_SCHIZO	Schizophrenia, schizotypal and delusional disorders	7999	168900	1.0364	0
F5_SCHIZOAFF	Schizoaffective disorder	1807	168900	0.97366	1
F5_SCHIZOTYP	Schizotypal disorder	553	168900	0.99441	1
F5_SCHIZPER	Schizoid personality disorder	348	171894	0.96182	0
F5_SCHOLA	Specific development disorders of scholastic skills	417	175519	0.99581	0
F5_SCHZPHR	Schizophrenia	4516	168900	0.98885	0
F5_SEDAHYP	Mental and behavioural disorders due to sedatives or hypnotics	924	174101	1.0417	0
F5_SEXDYS	Sexual dysfunction	124	173440	0.75934	0
F5_SLEEP	Sleep disorders	1646	173440	1.0221	0
F5_SOMATOFORM	Somatoform disorder	2004	161390	1.0297	0
F5_SPEECH	Specific development disorders of speech and language	595	175519	1.0283	0
F5_STIMUL	Mental and behavioural disorders due to use of other stimulants, including caffeine	386	174101	0.97962	0
F5_STRESSOTH	Other reactioin to severe stress, and adjustment disorders	5462	161390	1.035	1
F5_SUBSNOALCO	Substance use, excluding alcohol	2798	166915	1.024	0
F5_SUBSTANCE	Mental and behavioural disorders due to psychoctive substance use	9984	166915	1.0762	1
F5_TIC	Tic disorders	120	174749	0.74823	0
F5_TOBAC	Mental and behavioural disorders due to tobacco	709	174101	1.0518	1
F5_UNSMENDIS	Unspecified mental disorder	9622	167277	1.0402	0
F5_VASCDEM	Vascular dementia	724	171224	1.0431	2
FALLS	Falls/tendenct to fall	1053	175846	1.0479	1
FE	Focal epilepsy	731	172311	1.0398	0
FEMHER_UNILATERAL	Femoral hernia, unilateral	304	154928	0.96136	0
FEMINGHER_BILATERAL	Inguinal or femoral hernia, bilateral	1174	154928	1.0446	1
FEMNINGHER_UNILATERAL	Inguinal of femoral hernia, unilateral	304	154928	0.96136	0
FE_MODE	Focal epilepsy	430	172311	1	0
FE_STRICT	Focal epilepsy	481	172311	1.0207	0
FG_CARDMYO	Cardiomyopathy (excluding other)	1730	132963	1.0479	16
FG_CEREBVASC	Cerebrovascular diseases (FINNGEN)	10367	97214	1.034	1
FG_CVD	Cardiovascular diseases (excluding rheumatic etc)	79685	97214	1.1202	11
FG_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)	19930	97214	1.0961	14
FG_DOAAC	Diseases of arteries, arterioles and capillaries (FINNGEN)	6988	97214	1.0374	1
FG_HYPERTENSION	Hypertensive diseases (excluding secondary)	43576	97214	1.1598	41
FG_OTH	Other CVD (FINNGEN)	1398	97214	1.0335	0
FG_OTHHEART	Other heart diseases	43936	97214	1.0762	15
FG_PULMHEART	Pulmonary heart disease	3016	173883	1.0417	5
G6_AD_WIDE	Alzheimer's disease, wide definition	4466	172433	1.0388	6
G6_AD_WIDE_EXMORE	Alzheimer's disease, wide definition (more controls excluded)	4466	93979	1.0302	7
G6_ALCODEGEN	Degeneration of the brain due to alcohol	249	173328	0.91065	1
G6_ALS	Motor neuron disease	147	94096	0.76203	1
G6_ALZHEIMER	Alzheimer disease	3060	173839	1.0407	7
G6_ALZHEIMER_EXMORE	Alzheimer disease (more controls excluded)	3060	93979	1.0269	8
G6_ANOXBRAINDAM	Anoxic brain damage	123	167072	0.76706	0
G6_ATROPHCIRCUM	Circumscribed brain atrophy	182	173328	0.84354	2
G6_ATYFAC	Atypical facial pain	540	158705	1.0288	0
G6_AUTONOM	Autonomic disorders	190	167072	0.86103	0
G6_BELLPA	Bell's palsy	1303	158705	1.0422	0
G6_BRACHPLE	Brachial plexus disorders	936	158705	1.0479	1
G6_CARPTU	Carpal tunnel syndrome	8576	158705	1.0916	6
G6_CAUDA	Cauda equina syndrome	113	175490	0.73799	1
G6_CAUSALGIA	Causalgia	157	158705	0.82019	0
G6_CERCYST	Cerebral cysts	523	167072	1.0174	0
G6_CERVROOT	Cervical root disorders	105	158705	0.7163	0
G6_CP	Cerebral palsy	218	175490	0.89591	0
G6_CPETAL	Cerebral palsy and other paralytic syndromes	1409	175490	1.0288	0
G6_DEGENOTH	Other and unspecified degenerative diseases of nervous system	182	173328	0.85434	0
G6_DEMYEL	Demyelenating diseases of the central nervous system	978	175921	1.0504	3
G6_DIABETNEUR	Diabethic neuropathy	1127	158705	1.0499	2
G6_DISBROTHUNS	Disorders of brain, other and unspecified	112	167072	0.73874	0
G6_DYSTON	Dystonia	584	173215	1.0354	0
G6_ENCEPHOTH	Other encephalitis	257	175924	0.9269	1
G6_EPIPAROX	Episodal and paroxysmal disorders	32119	144780	1.0782	2
G6_EPLEPSY	Epilepsy	4588	144780	1.0264	0
G6_FACOTH	Other facial nerve disorders	275	158705	0.93487	0
G6_FEMLAPOP	Lesion of lateral popliteal nerve	467	158705	1.0141	0
G6_GUILBAR	Guillain-Barre syndrome	162	174596	0.83406	0
G6_HCCOMM	Communicating hydrocephalus	160	176382	0.81614	0
G6_HCNP	Normal-pressure hydrocephalus	220	176382	0.89246	0
G6_HCOBSTR	Obstructive hydrocephalus	131	176382	0.77601	0
G6_HCOTHUNS	Other and unspecified hydrocephalus	121	176382	0.77172	0
G6_HEADACHE	Other headache syndromes	6292	144780	1.0345	0
G6_HEMIPLE	Hemiplegia	646	175490	1.0398	1
G6_HERATAXIA	Hereditary ataxia	124	176509	0.74291	0
G6_HORNER	Horner syndrome	116	176709	0.75473	0
G6_HYDROCEPH	Hydrocephalus	517	167072	1.0273	0
G6_LSROOT	Lumbosacral root disorders, not elsewhere classified	204	158705	0.87665	0
G6_MEDLEOTH	Other lesions of median nerve	311	158705	0.95864	0
G6_MENINGBACT	Bacterial meningitis	450	175924	1.015	0
G6_MENINGOTH	Other meningitis	134	175924	0.75972	0
G6_MERALGIA	Meralgia paraesthetica	309	158705	0.96136	0
G6_MIGRAINE	Migraine	6687	144780	1.0398	0
G6_MIGRAINE_NO_AURA	Migraine without aura	2528	144780	1.0402	1
G6_MIGRAINE_WITH_AURA	Migraine with aura	2777	144780	1.0316	0
G6_MONOLOWOTHUNS	Other and unspecified mononeuropathies of lower limb	353	158705	0.98146	0
G6_MONONPOTHUS	Other and unspecified mononeuropathies of upper limb	330	158705	0.9659	0
G6_MONOOTHUNS	Other and unsepcified mononeuropathies, also in other diseases	357	158705	0.98423	0
G6_MONOPLE	Monoplegia	135	175490	0.76551	2
G6_MS	MS-disease / Multiple Sclerosis	805	175660	1.0518	1
G6_MYASTHENIA	Myasthenia gravis	178	175631	0.85977	1
G6_MYONEU	Diseases of the myoneural junction and muscle	1268	175631	1.0398	5
G6_MYOPOTHUNS	Other and unspecified myopathies	827	175631	1.0407	0
G6_NERPLEX	Nerve, nerve root and plexus disorders	18194	158705	1.0851	2
G6_NEUATR	Systemic atrophies primarly affecting the central nervous system	390	176509	0.99348	0
G6_NEUINFL	Inflammatory diseases of the central nervous system	975	175924	1.0441	1
G6_NEURO	Neurological diseases	53668	123231	1.1051	0
G6_NEURODEG	Other degenerative diseases of the nervous system	3571	173328	1.0316	5
G6_NEUROOTH	Other disorders of nervous system	609	167072	1.0359	0
G6_OTHDEMYEL	Other demyelinating diseases of the central nervous system	362	175921	0.99395	1
G6_OTHNEU	Other neurological diseases	9827	167072	1.0359	0
G6_PARALOTHUNS	Other and unspecified paralytic syndromes	141	175490	0.78779	0
G6_PARDIPLE	Paraplegia, diplegia of upper limbs	221	175490	0.89979	0
G6_PARKINSON	Parkinson's disease	1587	175312	1.0335	2
G6_PARKINSON_EXMORE	Parkinson's disease (more controls excluded)	1587	94096	1.0326	3
G6_PARKSCND	Secondary parkinsonism+Parkinsonism in other disease	334	173215	0.96773	0
G6_PLANTAR	Lesion of plantar nerve	819	158705	1.0479	0
G6_POLYNEU	Polyneuropathies and other disorders of the peripheral nervous system	2303	174596	1.0264	2
G6_POLYOTHUNS	Other and unspecified polyneuropathies, also in other diseases	1967	174596	1.0216	1
G6_POSTOPNEURO	Postprocedural disorders of nervous system	823	167072	1.0378	0
G6_POSTZOST	Postzoster neuralgia	117	158705	0.74405	0
G6_RADLES	Lesion of radial nerve	425	158705	1.0009	0
G6_ROOTPLEXOTHUNS	Other and unspecified nerve root and plexus disorders, also in other diseases	1780	158705	1.0475	0
G6_SCIALE	Lesion of sciatic nerve	629	158705	1.0326	0
G6_SLEEPAPNO	Sleep apnoea	11937	164295	1.0901	2
G6_SLEEPDISOTH	Other sleepdisorders	1208	144780	1.0402	0
G6_SPINOTH	Other diseases of spinal cord	288	167072	0.95503	0
G6_STATUSEPI	Status epilepticus	355	144780	0.97275	0
G6_TARSTUN	Tarsal tunnel syndrome	107	158705	0.72859	0
G6_TIA	Transient ischemic attack	6729	167072	1.0417	0
G6_TRINEU	Trigeminal neuralgia	590	158705	1.0245	0
G6_TRIOTHUNS	Other and unspecified trigeminal disorders	179	158705	0.86061	0
G6_ULLNLE	Lesion of ulnar nerve	1508	158705	1.0354	0
G6_VASCSYND	Vascular syndromes of brain in cerebrovascular disorders	458	167072	1.0089	0
G6_XTRAPYR	Extrapyramidal and movement disorders	3684	173215	1.0326	1
G6_XTRAPYROTH	Other extrapyramidal and movement disorders+ in other diseases	1607	173215	1.0398	0
GAST_OPER	Any gastric operation	56761	120138	1.0625	1
GE	Generalized epilepsy	1353	172311	1.0359	0
GEST_DIABETES	Gestational diabetes (for exclusion)	4171	96190	1.0335	3
GE_MODE	Generalized epilepsy, mode (most common among epilepsy diagnosis)	765	172311	1.0378	0
GE_STRICT	Generalized epilepsy, strict edfinition	1103	172311	1.0378	0
GIANT_CELL_TEMP_ARTERITIS	Giant cell arteritis with polymyalgia rheumatica	293	176311	0.95413	1
GLOMER_NEPHRITIS	Glomerulonephritis	3375	173524	1.0402	2
GOUT	Gout, FINNGEN	2505	165656	1.0422	7
GOUT_IDIO	Idiopathic gout	591	174394	1.0288	3
GOUT_NOS	Gout, unspecified	1438	174394	1.0383	3
GOUT_STRICT	Gout, strict definition	1199	175082	1.0479	4
H7_ALLERGICCONJUNCTIVITIS	Allergic conjunctivitis	8006	168893	1.0586	3
H7_AMBLYANOPSIA	Amblyopia ex anopsia	409	171027	0.99674	0
H7_AMD	Age-related macular degeneration (whether dry or wet)	2692	166620	1.0321	8
H7_ANISOMETROPIA	Anisometropia and aniseikonia	277	170976	0.92999	0
H7_ANOMAPUPFUNC	Anomalies of pupillary function	169	175459	0.84395	0
H7_APHAKIA	Aphakia	189	154905	0.86481	0
H7_ASTIGMATISM	Astigmatism	478	170976	1.0141	0
H7_BCKRNDRETINOPAT	Background retinopathy and retinal vascular changes	237	164973	0.91109	0
H7_BINOCUMOVOTH	Other disorders of binocular movement	225	170976	0.89289	0
H7_BINODISTOTH	Other disorders of binocular vision	144	171027	0.74063	0
H7_BLEPHAROCHALASIS	Blepharochalasis	3188	165083	1.0441	1
H7_BLINDANDVISIMPAIRMENT	Visual impairment including blindness (binocular or monocular)	691	171027	1.0374	0
H7_CATARACTOTHER	Other cataract	6034	154905	1.0193	2
H7_CATARACTSENILE	Senile cataract	20157	154905	1.0484	7
