CID	BIOCHEMICAL_NAME	SUPER_PATHWAY	HMDB_ID	LINK
C100002135	5-HEPE	Lipid	HMDB0005081	http://share.sph.umich.edu/metsim_metabqtl/C100002135_primary_mac5.epacts.gz
C100002152	andro steroid monosulfate C19H28O6S (1)*	Lipid	HMDB0002759	http://share.sph.umich.edu/metsim_metabqtl/C100002152_primary_mac5.epacts.gz
C100002154	ergothioneine	Xenobiotics	HMDB0003045	http://share.sph.umich.edu/metsim_metabqtl/C100002154_primary_mac5.epacts.gz
C100002171	1-margaroyl-GPE (17:0)*	Lipid	~HMDB0011130	http://share.sph.umich.edu/metsim_metabqtl/C100002171_primary_mac5.epacts.gz
C100002173	1-pentadecanoyl-GPC (15:0)*	Lipid	HMDB0010381	http://share.sph.umich.edu/metsim_metabqtl/C100002173_primary_mac5.epacts.gz
C100002183	S-methylmethionine	Amino_Acid	HMDB0038670	http://share.sph.umich.edu/metsim_metabqtl/C100002183_primary_mac5.epacts.gz
C100002185	indole-3-carboxylate	Amino_Acid	HMDB0003320	http://share.sph.umich.edu/metsim_metabqtl/C100002185_primary_mac5.epacts.gz
C100002196	13-HODE + 9-HODE	Lipid	HMDB0004667;HMDB0004670	http://share.sph.umich.edu/metsim_metabqtl/C100002196_primary_mac5.epacts.gz
C100002199	tridecenedioate (C13:1-DC)*	Lipid	~HMDB0000529	http://share.sph.umich.edu/metsim_metabqtl/C100002199_primary_mac5.epacts.gz
C100002204	N-acetyl-3-methylhistidine*	Amino_Acid	~HMDB0000194	http://share.sph.umich.edu/metsim_metabqtl/C100002204_primary_mac5.epacts.gz
C100002227	4-cholesten-3-one	Lipid	HMDB0000921	http://share.sph.umich.edu/metsim_metabqtl/C100002227_primary_mac5.epacts.gz
C100002241	7-methylurate	Xenobiotics	HMDB0011107	http://share.sph.umich.edu/metsim_metabqtl/C100002241_primary_mac5.epacts.gz
C100002249	N-acetyl-cadaverine	Amino_Acid	HMDB0002284	http://share.sph.umich.edu/metsim_metabqtl/C100002249_primary_mac5.epacts.gz
C100002253	cinnamoylglycine	Xenobiotics	HMDB0011621	http://share.sph.umich.edu/metsim_metabqtl/C100002253_primary_mac5.epacts.gz
C100002259	cis-4-decenoylcarnitine (C10:1)	Lipid	HMDB0240585	http://share.sph.umich.edu/metsim_metabqtl/C100002259_primary_mac5.epacts.gz
C100002284	2S,3R-dihydroxybutyrate	Lipid	HMDB0002453	http://share.sph.umich.edu/metsim_metabqtl/C100002284_primary_mac5.epacts.gz
C100002293	phenylalanylphenylalanine	Peptide	HMDB0013302	http://share.sph.umich.edu/metsim_metabqtl/C100002293_primary_mac5.epacts.gz
C100002356	(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	HMDB0037397,HMDB0038070	http://share.sph.umich.edu/metsim_metabqtl/C100002356_primary_mac5.epacts.gz
C100002367	2R,3R-dihydroxybutyrate	Lipid	HMDB0000498	http://share.sph.umich.edu/metsim_metabqtl/C100002367_primary_mac5.epacts.gz
C100002397	alpha-ketoglutaramate*	Amino_Acid	HMDB0001552	http://share.sph.umich.edu/metsim_metabqtl/C100002397_primary_mac5.epacts.gz
C100002417	2,3-dihydroxyisovalerate	Xenobiotics	HMDB0012141	http://share.sph.umich.edu/metsim_metabqtl/C100002417_primary_mac5.epacts.gz
C100002458	3-methylglutaconate	Amino_Acid	HMDB0000522	http://share.sph.umich.edu/metsim_metabqtl/C100002458_primary_mac5.epacts.gz
C100002462	5-(galactosylhydroxy)-L-lysine	Amino_Acid	~HMDB0000585	http://share.sph.umich.edu/metsim_metabqtl/C100002462_primary_mac5.epacts.gz
C100002466	cysteinylglycine disulfide*	Amino_Acid	HMDB0000709	http://share.sph.umich.edu/metsim_metabqtl/C100002466_primary_mac5.epacts.gz
C100002488	isoursodeoxycholate	Lipid	HMDB0000686	http://share.sph.umich.edu/metsim_metabqtl/C100002488_primary_mac5.epacts.gz
C100002500	formiminoglutamate	Amino_Acid	HMDB0000854	http://share.sph.umich.edu/metsim_metabqtl/C100002500_primary_mac5.epacts.gz
C100002514	hydantoin-5-propionate	Amino_Acid	HMDB0001212	http://share.sph.umich.edu/metsim_metabqtl/C100002514_primary_mac5.epacts.gz
C100002528	sulfate*	Xenobiotics	HMDB0001448	http://share.sph.umich.edu/metsim_metabqtl/C100002528_primary_mac5.epacts.gz
C100002537	4-hydroxy-2-oxoglutaric acid	Lipid	HMDB0002070	http://share.sph.umich.edu/metsim_metabqtl/C100002537_primary_mac5.epacts.gz
C100002544	4-hydroxyglutamate	Amino_Acid	HMDB0002273	http://share.sph.umich.edu/metsim_metabqtl/C100002544_primary_mac5.epacts.gz
C100002568	L-urobilin	Cofactors_and_Vitamins	HMDB0004159	http://share.sph.umich.edu/metsim_metabqtl/C100002568_primary_mac5.epacts.gz
C100002679	gamma-carboxyglutamate	Amino_Acid	HMDB0041900	http://share.sph.umich.edu/metsim_metabqtl/C100002679_primary_mac5.epacts.gz
C100002717	hydroxycotinine	Xenobiotics	HMDB0001390	http://share.sph.umich.edu/metsim_metabqtl/C100002717_primary_mac5.epacts.gz
C100002719	cotinine N-oxide	Xenobiotics	HMDB0001411	http://share.sph.umich.edu/metsim_metabqtl/C100002719_primary_mac5.epacts.gz
C100002734	hydrochlorothiazide	Xenobiotics	HMDB0001928	http://share.sph.umich.edu/metsim_metabqtl/C100002734_primary_mac5.epacts.gz
C100002749	S-methylcysteine	Amino_Acid	HMDB0002108	http://share.sph.umich.edu/metsim_metabqtl/C100002749_primary_mac5.epacts.gz
C100002751	astaxanthin	Cofactors_and_Vitamins	HMDB0002204	http://share.sph.umich.edu/metsim_metabqtl/C100002751_primary_mac5.epacts.gz
C100002761	androsterone glucuronide	Lipid	HMDB0002829	http://share.sph.umich.edu/metsim_metabqtl/C100002761_primary_mac5.epacts.gz
C100002769	argininate*	Amino_Acid	HMDB0003148	http://share.sph.umich.edu/metsim_metabqtl/C100002769_primary_mac5.epacts.gz
C100002773	solanidine	Xenobiotics	HMDB0003236	http://share.sph.umich.edu/metsim_metabqtl/C100002773_primary_mac5.epacts.gz
C100002784	2-oxoarginine*	Amino_Acid	HMDB0004225	http://share.sph.umich.edu/metsim_metabqtl/C100002784_primary_mac5.epacts.gz
C100002796	cis-4-decenoate (10:1n6)*	Lipid	HMDB0004980	http://share.sph.umich.edu/metsim_metabqtl/C100002796_primary_mac5.epacts.gz
C100002849	ethyl glucuronide	Xenobiotics	HMDB0010325	http://share.sph.umich.edu/metsim_metabqtl/C100002849_primary_mac5.epacts.gz
C100002865	1-meadoyl-GPC (20:3n9)*	Lipid	HMDB0010393	http://share.sph.umich.edu/metsim_metabqtl/C100002865_primary_mac5.epacts.gz
C100002869	1-erucoyl-GPC (22:1)*	Lipid	HMDB0010399	http://share.sph.umich.edu/metsim_metabqtl/C100002869_primary_mac5.epacts.gz
C100002871	1-adrenoyl-GPC (22:4)*	Lipid	HMDB0010401	http://share.sph.umich.edu/metsim_metabqtl/C100002871_primary_mac5.epacts.gz
C100002873	1-lignoceroyl-GPC (24:0)	Lipid	HMDB0010405	http://share.sph.umich.edu/metsim_metabqtl/C100002873_primary_mac5.epacts.gz
C100002875	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	HMDB0010407	http://share.sph.umich.edu/metsim_metabqtl/C100002875_primary_mac5.epacts.gz
C100002876	1-(1-enyl-oleoyl)-GPC (P-18:1)*	Lipid	HMDB0010408	http://share.sph.umich.edu/metsim_metabqtl/C100002876_primary_mac5.epacts.gz
C100002877	1-(1-enyl-stearoyl)-GPC (P-18:0)*	Lipid	HMDB0013122	http://share.sph.umich.edu/metsim_metabqtl/C100002877_primary_mac5.epacts.gz
C100002910	1-methyl-5-imidazoleacetate	Amino_Acid	HMDB0004988	http://share.sph.umich.edu/metsim_metabqtl/C100002910_primary_mac5.epacts.gz
C100002911	glycoursodeoxycholate	Lipid	HMDB0000708	http://share.sph.umich.edu/metsim_metabqtl/C100002911_primary_mac5.epacts.gz
C100002912	tauroursodeoxycholate	Lipid	HMDB0000874	http://share.sph.umich.edu/metsim_metabqtl/C100002912_primary_mac5.epacts.gz
C100002913	ursocholate	Lipid	HMDB0000917	http://share.sph.umich.edu/metsim_metabqtl/C100002913_primary_mac5.epacts.gz
C100002927	S-methylcysteine sulfoxide	Amino_Acid	HMDB0029432	http://share.sph.umich.edu/metsim_metabqtl/C100002927_primary_mac5.epacts.gz
C100002945	(14 or 15)-methylpalmitate (a17:0 or i17:0)	Lipid	HMDB0031067,HMDB0061709	http://share.sph.umich.edu/metsim_metabqtl/C100002945_primary_mac5.epacts.gz
C100002951	eicosanedioate (C20-DC)	Lipid	HMDB0000782	http://share.sph.umich.edu/metsim_metabqtl/C100002951_primary_mac5.epacts.gz
C100002952	docosadioate (C22-DC)	Lipid	~HMDB0000782	http://share.sph.umich.edu/metsim_metabqtl/C100002952_primary_mac5.epacts.gz
C100002989	oleoyl-linoleoyl-glycerol (18:1/18:2) [1]	Lipid	HMDB0007219	http://share.sph.umich.edu/metsim_metabqtl/C100002989_primary_mac5.epacts.gz
C100002990	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	Lipid	HMDB0007219	http://share.sph.umich.edu/metsim_metabqtl/C100002990_primary_mac5.epacts.gz
C100003000	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	HMDB0011152	http://share.sph.umich.edu/metsim_metabqtl/C100003000_primary_mac5.epacts.gz
C100003001	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid		http://share.sph.umich.edu/metsim_metabqtl/C100003001_primary_mac5.epacts.gz
C100003008	2-stearoyl-GPI (18:0)*	Lipid	HMDB0240261	http://share.sph.umich.edu/metsim_metabqtl/C100003008_primary_mac5.epacts.gz
C100003101	alpha-CEHC glucuronide*	Cofactors_and_Vitamins	HMDB0062445	http://share.sph.umich.edu/metsim_metabqtl/C100003101_primary_mac5.epacts.gz
C100003109	2-oxindole-3-acetate	Xenobiotics	HMDB0035514	http://share.sph.umich.edu/metsim_metabqtl/C100003109_primary_mac5.epacts.gz
C100003119	N-oleoyltaurine	Lipid	~HMDB0240595	http://share.sph.umich.edu/metsim_metabqtl/C100003119_primary_mac5.epacts.gz
C100003151	linoleoylcarnitine (C18:2)*	Lipid	HMDB0006469	http://share.sph.umich.edu/metsim_metabqtl/C100003151_primary_mac5.epacts.gz
C100003169	isoleucylglycine	Peptide	HMDB0028907	http://share.sph.umich.edu/metsim_metabqtl/C100003169_primary_mac5.epacts.gz
C100003185	leucylglycine	Peptide	HMDB0028929	http://share.sph.umich.edu/metsim_metabqtl/C100003185_primary_mac5.epacts.gz
C100003239	N-palmitoyltaurine	Lipid	HMDB0240594	http://share.sph.umich.edu/metsim_metabqtl/C100003239_primary_mac5.epacts.gz
C100003240	N-stearoyltaurine	Lipid	HMDB0240595	http://share.sph.umich.edu/metsim_metabqtl/C100003240_primary_mac5.epacts.gz
C100003258	2-O-methylascorbic acid	Cofactors_and_Vitamins	HMDB0240294	http://share.sph.umich.edu/metsim_metabqtl/C100003258_primary_mac5.epacts.gz
C100003260	carboxyethyl-GABA	Amino_Acid	HMDB0002201	http://share.sph.umich.edu/metsim_metabqtl/C100003260_primary_mac5.epacts.gz
C100003271	beta-citrylglutamate	Amino_Acid	HMDB0013220	http://share.sph.umich.edu/metsim_metabqtl/C100003271_primary_mac5.epacts.gz
C100003397	trimethylamine N-oxide	Lipid	HMDB0000925	http://share.sph.umich.edu/metsim_metabqtl/C100003397_primary_mac5.epacts.gz
C100003415	N6-methyllysine	Amino_Acid	HMDB0002038	http://share.sph.umich.edu/metsim_metabqtl/C100003415_primary_mac5.epacts.gz
C100003432	dihydroferulate	Xenobiotics	HMDB0062121	http://share.sph.umich.edu/metsim_metabqtl/C100003432_primary_mac5.epacts.gz
C100003434	imidazole propionate	Amino_Acid	HMDB0002271	http://share.sph.umich.edu/metsim_metabqtl/C100003434_primary_mac5.epacts.gz
C100003470	pregnanediol-3-glucuronide	Lipid	HMDB0010318	http://share.sph.umich.edu/metsim_metabqtl/C100003470_primary_mac5.epacts.gz
C100003473	alliin	Xenobiotics	HMDB0033592	http://share.sph.umich.edu/metsim_metabqtl/C100003473_primary_mac5.epacts.gz
C100003594	phenylalanyltryptophan	Peptide	HMDB0029006	http://share.sph.umich.edu/metsim_metabqtl/C100003594_primary_mac5.epacts.gz
C100003641	valylglycine	Peptide	HMDB0029127	http://share.sph.umich.edu/metsim_metabqtl/C100003641_primary_mac5.epacts.gz
C100003645	valylphenylalanine	Peptide	HMDB0029134	http://share.sph.umich.edu/metsim_metabqtl/C100003645_primary_mac5.epacts.gz
C100003651	methionylalanine	Peptide	HMDB0028966	http://share.sph.umich.edu/metsim_metabqtl/C100003651_primary_mac5.epacts.gz
C100003674	prolylglycine	Peptide	HMDB0011178	http://share.sph.umich.edu/metsim_metabqtl/C100003674_primary_mac5.epacts.gz
C100003678	prolylproline	Peptide	HMDB0011180	http://share.sph.umich.edu/metsim_metabqtl/C100003678_primary_mac5.epacts.gz
C100003679	prolylserine	Peptide	HMDB0029026	http://share.sph.umich.edu/metsim_metabqtl/C100003679_primary_mac5.epacts.gz
C100003686	N-palmitoylglycine	Lipid	HMDB0013034	http://share.sph.umich.edu/metsim_metabqtl/C100003686_primary_mac5.epacts.gz
C100003695	mannonate*	Xenobiotics	~HMDB0000625	http://share.sph.umich.edu/metsim_metabqtl/C100003695_primary_mac5.epacts.gz
C100003892	lanthionine	Amino_Acid	~HMDB0034324	http://share.sph.umich.edu/metsim_metabqtl/C100003892_primary_mac5.epacts.gz
C100003901	2-stearoyl-GPE (18:0)*	Lipid	HMDB0011129	http://share.sph.umich.edu/metsim_metabqtl/C100003901_primary_mac5.epacts.gz
C100003926	(R)-3-hydroxybutyrylcarnitine	Lipid	HMDB0013127	http://share.sph.umich.edu/metsim_metabqtl/C100003926_primary_mac5.epacts.gz
C100004046	N-acetylcarnosine	Amino_Acid	HMDB0012881	http://share.sph.umich.edu/metsim_metabqtl/C100004046_primary_mac5.epacts.gz
C100004054	margaroylcarnitine (C17)*	Lipid	HMDB0006210	http://share.sph.umich.edu/metsim_metabqtl/C100004054_primary_mac5.epacts.gz
C100004056	N-methyltaurine	Amino_Acid		http://share.sph.umich.edu/metsim_metabqtl/C100004056_primary_mac5.epacts.gz
C100004059	histidine betaine (hercynine)*	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100004059_primary_mac5.epacts.gz
C100004083	glycohyocholate	Lipid	HMDB0000138	http://share.sph.umich.edu/metsim_metabqtl/C100004083_primary_mac5.epacts.gz
C100004089	2-hydroxydecanoate	Lipid	HMDB0094656	http://share.sph.umich.edu/metsim_metabqtl/C100004089_primary_mac5.epacts.gz
C100004110	3-methyl catechol sulfate (2)	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100004110_primary_mac5.epacts.gz
C100004111	4-methylcatechol sulfate	Xenobiotics	HMDB0240459	http://share.sph.umich.edu/metsim_metabqtl/C100004111_primary_mac5.epacts.gz
C100004112	3-methyl catechol sulfate (1)	Xenobiotics	~HMDB0240461	http://share.sph.umich.edu/metsim_metabqtl/C100004112_primary_mac5.epacts.gz
C100004169	2-hydroxyibuprofen	Xenobiotics	HMDB0060920	http://share.sph.umich.edu/metsim_metabqtl/C100004169_primary_mac5.epacts.gz
C100004171	carboxyibuprofen	Xenobiotics	HMDB0060564	http://share.sph.umich.edu/metsim_metabqtl/C100004171_primary_mac5.epacts.gz
C100004182	3b-hydroxy-5-cholenoic acid	Lipid	HMDB0000308	http://share.sph.umich.edu/metsim_metabqtl/C100004182_primary_mac5.epacts.gz
C100004208	guaiacol sulfate	Xenobiotics	HMDB0060013	http://share.sph.umich.edu/metsim_metabqtl/C100004208_primary_mac5.epacts.gz
C100004227	2-aminooctanoate	Lipid	HMDB0000991	http://share.sph.umich.edu/metsim_metabqtl/C100004227_primary_mac5.epacts.gz
C100004243	gamma-CEHC glucuronide*	Cofactors_and_Vitamins	HMDB0062445	http://share.sph.umich.edu/metsim_metabqtl/C100004243_primary_mac5.epacts.gz
C100004284	dimethyl sulfone	Xenobiotics	HMDB0004983	http://share.sph.umich.edu/metsim_metabqtl/C100004284_primary_mac5.epacts.gz
C100004295	2-piperidinone	Xenobiotics	HMDB0011749	http://share.sph.umich.edu/metsim_metabqtl/C100004295_primary_mac5.epacts.gz
C100004299	N-acetyl-1-methylhistidine*	Amino_Acid	~HMDB0005769	http://share.sph.umich.edu/metsim_metabqtl/C100004299_primary_mac5.epacts.gz
C100004318	indolin-2-one	Xenobiotics	~HMDB0061933	http://share.sph.umich.edu/metsim_metabqtl/C100004318_primary_mac5.epacts.gz
C100004322	2-aminophenol sulfate	Xenobiotics	HMDB0061116	http://share.sph.umich.edu/metsim_metabqtl/C100004322_primary_mac5.epacts.gz
C100004326	3-acetylphenol sulfate	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100004326_primary_mac5.epacts.gz
C100004327	1-stearoyl-GPS (18:0)*	Lipid	HMDB0061698	http://share.sph.umich.edu/metsim_metabqtl/C100004327_primary_mac5.epacts.gz
C100004328	sphingomyelin (d18:1/14:0, d16:1/16:0)*	Lipid	HMDB0012097	http://share.sph.umich.edu/metsim_metabqtl/C100004328_primary_mac5.epacts.gz
C100004329	sphingomyelin (d18:2/16:0, d18:1/16:1)*	Lipid	~HMDB0010169	http://share.sph.umich.edu/metsim_metabqtl/C100004329_primary_mac5.epacts.gz
C100004396	3-hydroxyadipate*	Lipid	HMDB0000345	http://share.sph.umich.edu/metsim_metabqtl/C100004396_primary_mac5.epacts.gz
C100004494	3-hydroxycotinine glucuronide	Xenobiotics	HMDB0001204	http://share.sph.umich.edu/metsim_metabqtl/C100004494_primary_mac5.epacts.gz
C100004499	6-oxopiperidine-2-carboxylate	Amino_Acid	HMDB0061705	http://share.sph.umich.edu/metsim_metabqtl/C100004499_primary_mac5.epacts.gz
C100004509	S-allylcysteine	Xenobiotics	HMDB0034323	http://share.sph.umich.edu/metsim_metabqtl/C100004509_primary_mac5.epacts.gz
C100004523	N-delta-acetylornithine	Amino_Acid	HMDB0003357	http://share.sph.umich.edu/metsim_metabqtl/C100004523_primary_mac5.epacts.gz
C100004541	acisoga	Amino_Acid	HMDB0061384	http://share.sph.umich.edu/metsim_metabqtl/C100004541_primary_mac5.epacts.gz
C100004542	2-aminoheptanoate	Lipid	HMDB0094649	http://share.sph.umich.edu/metsim_metabqtl/C100004542_primary_mac5.epacts.gz
C100004552	1-eicosapentaenoyl-GPE (20:5)*	Lipid	HMDB0011489	http://share.sph.umich.edu/metsim_metabqtl/C100004552_primary_mac5.epacts.gz
C100004555	benzoylcarnitine*	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100004555_primary_mac5.epacts.gz
C100004561	N-formylanthranilic acid	Amino_Acid	HMDB0004089	http://share.sph.umich.edu/metsim_metabqtl/C100004561_primary_mac5.epacts.gz
C100004575	N2,N5-diacetylornithine	Amino_Acid	~HMDB0003357	http://share.sph.umich.edu/metsim_metabqtl/C100004575_primary_mac5.epacts.gz
C100004634	3-methoxytyramine sulfate	Amino_Acid	~HMDB0127988	http://share.sph.umich.edu/metsim_metabqtl/C100004634_primary_mac5.epacts.gz
C100004635	methionine sulfone	Amino_Acid	HMDB0062174	http://share.sph.umich.edu/metsim_metabqtl/C100004635_primary_mac5.epacts.gz
C100005350	1-linolenoyl-GPC (18:3)*	Lipid	HMDB0010387,HMDB0010388	http://share.sph.umich.edu/metsim_metabqtl/C100005350_primary_mac5.epacts.gz
C100005351	1-eicosapentaenoyl-GPC (20:5)*	Lipid	HMDB0010397	http://share.sph.umich.edu/metsim_metabqtl/C100005351_primary_mac5.epacts.gz
C100005352	1-eicosenoyl-GPC (20:1)*	Lipid	HMDB0008315	http://share.sph.umich.edu/metsim_metabqtl/C100005352_primary_mac5.epacts.gz
C100005353	1-nonadecanoyl-GPC (19:0)	Lipid	~HMDB0010398	http://share.sph.umich.edu/metsim_metabqtl/C100005353_primary_mac5.epacts.gz
C100005367	N-acetylalliin	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100005367_primary_mac5.epacts.gz
C100005371	1-dihomo-linolenoyl-GPE (20:3n3 or 6)*	Lipid	HMDB0011514,HMDB0011516	http://share.sph.umich.edu/metsim_metabqtl/C100005371_primary_mac5.epacts.gz
C100005372	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid		http://share.sph.umich.edu/metsim_metabqtl/C100005372_primary_mac5.epacts.gz
C100005373	fructosyllysine	Amino_Acid	HMDB0034879	http://share.sph.umich.edu/metsim_metabqtl/C100005373_primary_mac5.epacts.gz
C100005383	N-methylpipecolate	Xenobiotics	~HMDB0000070	http://share.sph.umich.edu/metsim_metabqtl/C100005383_primary_mac5.epacts.gz
C100005384	O-sulfo-L-tyrosine	Xenobiotics	HMDB0155722	http://share.sph.umich.edu/metsim_metabqtl/C100005384_primary_mac5.epacts.gz
C100005389	ferulic acid 4-sulfate	Xenobiotics	HMDB0029200	http://share.sph.umich.edu/metsim_metabqtl/C100005389_primary_mac5.epacts.gz
C100005391	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	HMDB0094710	http://share.sph.umich.edu/metsim_metabqtl/C100005391_primary_mac5.epacts.gz
C100005396	5alpha-androstan-3alpha,17beta-diol 17-glucuronide	Lipid	HMDB0010339	http://share.sph.umich.edu/metsim_metabqtl/C100005396_primary_mac5.epacts.gz
C100005402	11-ketoetiocholanolone glucuronide	Lipid		http://share.sph.umich.edu/metsim_metabqtl/C100005402_primary_mac5.epacts.gz
C100005403	etiocholanolone glucuronide	Lipid	HMDB0004484	http://share.sph.umich.edu/metsim_metabqtl/C100005403_primary_mac5.epacts.gz
C100005418	17alpha-hydroxypregnanolone glucuronide	Lipid	~HMDB0010318	http://share.sph.umich.edu/metsim_metabqtl/C100005418_primary_mac5.epacts.gz
C100005466	N-acetyltaurine	Amino_Acid	HMDB0240253	http://share.sph.umich.edu/metsim_metabqtl/C100005466_primary_mac5.epacts.gz
C100005673	1-docosapentaenoyl-GPC (22:5n6)*	Lipid		http://share.sph.umich.edu/metsim_metabqtl/C100005673_primary_mac5.epacts.gz
C100005714	1-linolenoyl-GPE (18:3)*	Lipid	HMDB0011509	http://share.sph.umich.edu/metsim_metabqtl/C100005714_primary_mac5.epacts.gz
C100005716	1-oleoyl-GPG (18:1)*	Lipid	HMDB0240602	http://share.sph.umich.edu/metsim_metabqtl/C100005716_primary_mac5.epacts.gz
C100005717	1-palmitoyl-GPG (16:0)*	Lipid	HMDB0240601	http://share.sph.umich.edu/metsim_metabqtl/C100005717_primary_mac5.epacts.gz
C100005814	N-linoleoyltaurine*	Lipid	~HMDB0240595	http://share.sph.umich.edu/metsim_metabqtl/C100005814_primary_mac5.epacts.gz
C100005834	9-hydroxystearate	Lipid	HMDB0061661	http://share.sph.umich.edu/metsim_metabqtl/C100005834_primary_mac5.epacts.gz
C100005850	3-methylglutarylcarnitine (2)	Amino_Acid	HMDB0000552	http://share.sph.umich.edu/metsim_metabqtl/C100005850_primary_mac5.epacts.gz
C100005864	methyl glucopyranoside (alpha + beta)	Xenobiotics	HMDB0029965	http://share.sph.umich.edu/metsim_metabqtl/C100005864_primary_mac5.epacts.gz
C100005972	alpha-CEHC sulfate	Cofactors_and_Vitamins	~HMDB0001518	http://share.sph.umich.edu/metsim_metabqtl/C100005972_primary_mac5.epacts.gz
C100005977	alpha-CMBHC glucuronide	Cofactors_and_Vitamins	~HMDB0062445	http://share.sph.umich.edu/metsim_metabqtl/C100005977_primary_mac5.epacts.gz
C100005985	sphingomyelin (d18:2/14:0, d18:1/14:1)*	Lipid	HMDB0013462	http://share.sph.umich.edu/metsim_metabqtl/C100005985_primary_mac5.epacts.gz
C100005986	sphingomyelin (d18:1/24:1, d18:2/24:0)*	Lipid	HMDB0012107	http://share.sph.umich.edu/metsim_metabqtl/C100005986_primary_mac5.epacts.gz
C100005996	octadecenedioylcarnitine (C18:1-DC)*	Lipid	~HMDB0013338	http://share.sph.umich.edu/metsim_metabqtl/C100005996_primary_mac5.epacts.gz
C100005998	octadecanedioylcarnitine (C18-DC)*	Lipid	~HMDB0000848	http://share.sph.umich.edu/metsim_metabqtl/C100005998_primary_mac5.epacts.gz
C100006005	5alpha-androstan-3alpha,17beta-diol monosulfate (2)	Lipid	~HMDB0002759	http://share.sph.umich.edu/metsim_metabqtl/C100006005_primary_mac5.epacts.gz
C100006051	myristoleoylcarnitine (C14:1)*	Lipid	HMDB0240588	http://share.sph.umich.edu/metsim_metabqtl/C100006051_primary_mac5.epacts.gz
C100006056	N-formylphenylalanine	Amino_Acid	HMDB0240317	http://share.sph.umich.edu/metsim_metabqtl/C100006056_primary_mac5.epacts.gz
C100006082	4-hydroxychlorothalonil	Xenobiotics	~HMDB0014894	http://share.sph.umich.edu/metsim_metabqtl/C100006082_primary_mac5.epacts.gz
C100006089	isoeugenol sulfate	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100006089_primary_mac5.epacts.gz
C100006092	tyramine O-sulfate	Amino_Acid	HMDB0006409	http://share.sph.umich.edu/metsim_metabqtl/C100006092_primary_mac5.epacts.gz
C100006094	3-hydroxycinnamate sulfate	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100006094_primary_mac5.epacts.gz
C100006098	3-hydroxypyridine sulfate	Xenobiotics	~HMDB0013751	http://share.sph.umich.edu/metsim_metabqtl/C100006098_primary_mac5.epacts.gz
C100006105	4-methylguaiacol sulfate	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100006105_primary_mac5.epacts.gz
C100006108	phenylacetylcarnitine	Peptide		http://share.sph.umich.edu/metsim_metabqtl/C100006108_primary_mac5.epacts.gz
C100006115	arabonate/xylonate	Carbohydrate	HMDB0000539,HMDB0060256	http://share.sph.umich.edu/metsim_metabqtl/C100006115_primary_mac5.epacts.gz
C100006116	methyl-4-hydroxybenzoate sulfate	Xenobiotics	HMDB0041646	http://share.sph.umich.edu/metsim_metabqtl/C100006116_primary_mac5.epacts.gz
C100006121	1-dihomo-linolenylglycerol (20:3)	Lipid		http://share.sph.umich.edu/metsim_metabqtl/C100006121_primary_mac5.epacts.gz
C100006123	N-acetylhistamine	Amino_Acid	HMDB0013253	http://share.sph.umich.edu/metsim_metabqtl/C100006123_primary_mac5.epacts.gz
C100006126	4-vinylguaiacol sulfate	Xenobiotics	HMDB0127980	http://share.sph.umich.edu/metsim_metabqtl/C100006126_primary_mac5.epacts.gz
C100006129	vanillactate	Amino_Acid	HMDB0000913	http://share.sph.umich.edu/metsim_metabqtl/C100006129_primary_mac5.epacts.gz
C100006171	eugenol sulfate	Xenobiotics	HMDB0135245	http://share.sph.umich.edu/metsim_metabqtl/C100006171_primary_mac5.epacts.gz
C100006173	pregnanolone/allopregnanolone sulfate	Lipid	HMDB0062782,~HMDB0001449	http://share.sph.umich.edu/metsim_metabqtl/C100006173_primary_mac5.epacts.gz
C100006184	2-methoxyresorcinol sulfate	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100006184_primary_mac5.epacts.gz
C100006190	2-acetamidophenol sulfate	Xenobiotics	~HMDB0062547	http://share.sph.umich.edu/metsim_metabqtl/C100006190_primary_mac5.epacts.gz
C100006191	p-cresol glucuronide*	Amino_Acid	HMDB0011686	http://share.sph.umich.edu/metsim_metabqtl/C100006191_primary_mac5.epacts.gz
C100006203	acesulfame	Xenobiotics	HMDB0033585	http://share.sph.umich.edu/metsim_metabqtl/C100006203_primary_mac5.epacts.gz
C100006256	syringol sulfate	Xenobiotics	~HMDB0060013	http://share.sph.umich.edu/metsim_metabqtl/C100006256_primary_mac5.epacts.gz
