phenocode	name	category	num_cases	num_controls	num_gw_significant
E4_DM2PERIPH	Type 2 diabetes with peripheral circulatory complications	Endocrine, nutritional and metabolic diseases (E4_)	1975	283224	4
E4_DM2REN	Type 2 diabetes with renal complications	Endocrine, nutritional and metabolic diseases (E4_)	2394	283224	7
E4_DMNAS	Unspecified diabetes	Endocrine, nutritional and metabolic diseases (E4_)	6573	283224	16
E4_DMNASCOMA	Unspecified diabetes with coma	Endocrine, nutritional and metabolic diseases (E4_)	130	283224	0
E4_DMNASKETO	Unspecified diabetes with ketoacidosis	Endocrine, nutritional and metabolic diseases (E4_)	219	283224	1
E4_DMNASNASCOMP	Unspecified diabetes with multiple/unspecified complications	Endocrine, nutritional and metabolic diseases (E4_)	919	283224	4
E4_DMNASNEU	Unspecified diabetes with neurological complications	Endocrine, nutritional and metabolic diseases (E4_)	94	283224	0
E4_DMNASNOCOMP	Unspecified diabetes without complications	Endocrine, nutritional and metabolic diseases (E4_)	2428	283224	7
E4_DMNASOTHCOMP	Unspecified diabetes with other specified complications	Endocrine, nutritional and metabolic diseases (E4_)	125	283224	0
E4_ENDODIS	Other endocrine disorders	Endocrine, nutritional and metabolic diseases (E4_)	1411	329091	2
E4_ENDODISNAS	Endocrine disorders, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	523	329091	6
E4_ENDOGLAND	Disorders of other endocrine glands	Endocrine, nutritional and metabolic diseases (E4_)	13408	329091	7
E4_ENDOMETPOSTOP	Postprocedural endocrine and metabolic disorders, not elsewhere classified	Endocrine, nutritional and metabolic diseases (E4_)	2945	296380	5
E4_FE_DEF	Iron deficiency	Endocrine, nutritional and metabolic diseases (E4_)	203	323324	3
E4_FH	Familial hypercholesterolemia	Endocrine, nutritional and metabolic diseases (E4_)	4471	296380	18
E4_FH_IHD	Familial hypercholesterolemia, with ischemic heart disease	Endocrine, nutritional and metabolic diseases (E4_)	2491	285769	10
E4_FLUIDELECTRO	Other disorders of fluid, electrolyte and acid-base balance	Endocrine, nutritional and metabolic diseases (E4_)	8310	296380	1
E4_FLUIDELECTRONAS	Other disorders of electrolyte and fluid balance, not elsewhere classified	Endocrine, nutritional and metabolic diseases (E4_)	203	296380	0
E4_GILBERT	Gilbert syndrome	Endocrine, nutritional and metabolic diseases (E4_)	161	296380	3
E4_GLUCOPANCREAS	Other disorders of glucose regulation and pancreatic internal secretion	Endocrine, nutritional and metabolic diseases (E4_)	2264	340235	5
E4_GOITREDIFF	Nontoxic diffuse goitre	Endocrine, nutritional and metabolic diseases (E4_)	754	292316	5
E4_GOITREMULTINOD	Nontoxic multinodular goitre	Endocrine, nutritional and metabolic diseases (E4_)	5498	292316	45
E4_GOITRENAS	Other and/or unspecified nontoxic goitre	Endocrine, nutritional and metabolic diseases (E4_)	2101	292316	11
E4_GOITRENOD	Nontoxic single thyroid nodule	Endocrine, nutritional and metabolic diseases (E4_)	1844	292316	2
E4_GRAVES_OPHT_STRICT	Graves ophthalmopathy, strict	Endocrine, nutritional and metabolic diseases (E4_)	502	341997	2
E4_GRAVES_STRICT	Graves disease, strict definition	Endocrine, nutritional and metabolic diseases (E4_)	2575	339924	14
E4_HYPERALDO	Hyperaldosteronism	Endocrine, nutritional and metabolic diseases (E4_)	603	329091	2
E4_HYPERCHOL	Pure hypercholesterolaemia	Endocrine, nutritional and metabolic diseases (E4_)	22460	296380	38
E4_HYPERGLYCER	Pure hyperglyceridaemia	Endocrine, nutritional and metabolic diseases (E4_)	483	296380	1
E4_HYPERKALAEMIA	Hyperkalaemia	Endocrine, nutritional and metabolic diseases (E4_)	1239	296380	0
E4_HYPERLIPMIX	Mixed hyperlipidaemia	Endocrine, nutritional and metabolic diseases (E4_)	947	296380	4
E4_HYPERLIPNAS	Hyperlipidaemia, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	10567	296380	19
E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	Endocrine, nutritional and metabolic diseases (E4_)	271	296380	0
E4_HYPERPARA	Hyperparathyroidism	Endocrine, nutritional and metabolic diseases (E4_)	4984	329091	10
E4_HYPERPIT	Hyperfunction of pituitary gland	Endocrine, nutritional and metabolic diseases (E4_)	1331	329091	0
E4_HYPERPRO	Hyperprolactinaemia	Endocrine, nutritional and metabolic diseases (E4_)	926	329091	0
E4_HYPERPRO_ADVERSE	Hyperprolactinaemia, drug-induced	Endocrine, nutritional and metabolic diseases (E4_)	148	342351	1
E4_HYPERURI	Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease	Endocrine, nutritional and metabolic diseases (E4_)	104	296380	0
E4_HYPOCOMA	Nondiabetic hypoglycaemic coma	Endocrine, nutritional and metabolic diseases (E4_)	113	340235	1
E4_HYPODRUG	Drug-induced hypoglycaemia without coma	Endocrine, nutritional and metabolic diseases (E4_)	394	340235	1
E4_HYPOKALAEMIA	Hypokalaemia	Endocrine, nutritional and metabolic diseases (E4_)	2800	296380	1
E4_HYPOOSMNAT	Hypo-osmolality and hyponatraemia	Endocrine, nutritional and metabolic diseases (E4_)	4413	296380	2
E4_HYPOPARA	Hypoparathyroidism	Endocrine, nutritional and metabolic diseases (E4_)	801	329091	2
E4_HYPOPIT	Hypopituitarism	Endocrine, nutritional and metabolic diseases (E4_)	1643	329091	0
E4_HYTHYNAS	Hypothyroidism,  other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	42000	292316	143
E4_HYTHYPOSTINF	Postinfectious hypothyroidism	Endocrine, nutritional and metabolic diseases (E4_)	143	292316	1
E4_HYTHYSUBS	Hypothyroidism due to medicaments and other exogenous substances	Endocrine, nutritional and metabolic diseases (E4_)	223	292316	0
E4_HYTHY_AI_STRICT	Hypothyroidism, strict autoimmune	Endocrine, nutritional and metabolic diseases (E4_)	36321	250926	160
E4_IRON_MET	Disorders of iron metabolism	Endocrine, nutritional and metabolic diseases (E4_)	269	296380	13
E4_LACTONAS	Lactose intolerance, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	635	296380	6
E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias	Endocrine, nutritional and metabolic diseases (E4_)	32737	296380	48
E4_LIPOPROTNAS	Disorder of lipoprotein metabolism, unspecified	Endocrine, nutritional and metabolic diseases (E4_)	3605	296380	5
E4_LOCALADIP	Localized adiposity	Endocrine, nutritional and metabolic diseases (E4_)	109	324070	1
E4_MALNUTRITION	Malnutrition	Endocrine, nutritional and metabolic diseases (E4_)	400	342099	2
E4_METABOLIA	Metabolic disorders	Endocrine, nutritional and metabolic diseases (E4_)	46119	296380	34
E4_MG_MET	Disorders of magnesium metabolism	Endocrine, nutritional and metabolic diseases (E4_)	126	296380	1
E4_MINERAL_MET	Disorders of mineral metabolism	Endocrine, nutritional and metabolic diseases (E4_)	1876	296380	7
E4_NONTOXIC_THYROID	Nontoxic goitre/thyroid nodule	Endocrine, nutritional and metabolic diseases (E4_)	8498	334001	54
E4_NUTRI_DEF_NAS	Other specified/unspecified nutritional deficiencies	Endocrine, nutritional and metabolic diseases (E4_)	183	323324	2
E4_OBESITY	Obesity	Endocrine, nutritional and metabolic diseases (E4_)	18330	324070	27
E4_OBESITYCAL	Obesity due to excess calories	Endocrine, nutritional and metabolic diseases (E4_)	12790	324169	10
E4_OBESITYDRUG	Drug-induced obesity	Endocrine, nutritional and metabolic diseases (E4_)	214	324169	0
E4_OBESITYNAS	Obesity, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	9551	324169	11
E4_OBESITYXTRMALV	Extreme obesity with alveolar hypoventilation	Endocrine, nutritional and metabolic diseases (E4_)	906	324169	4
E4_OVARDYS	Ovarian dysfunction	Endocrine, nutritional and metabolic diseases (E4_)	1721	181796	9
E4_OVARDYSNAS	Ovarian dysfunction, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	110	181796	1
E4_OVARFAIL	Primary ovarian failure	Endocrine, nutritional and metabolic diseases (E4_)	424	181796	0
E4_PANCSECNAS	Disorder of pancreatic internal secretion, other and/or unspecified	Endocrine, nutritional and metabolic diseases (E4_)	165	340235	1
E4_PARANAS	Disorders of parathyroid gland, other and/or unspecified	Endocrine, nutritional and metabolic diseases (E4_)	173	329091	0
E4_PARATHYRO	Disorders of parathyroid gland	Endocrine, nutritional and metabolic diseases (E4_)	5659	329091	12
E4_PCOS	Polycystic ovarian syndrome	Endocrine, nutritional and metabolic diseases (E4_)	1196	181796	7
E4_PCOS_BROAD	Polycystic ovarian syndrome, broad definition	Endocrine, nutritional and metabolic diseases (E4_)	2727	185341	3
E4_PCOS_CONCORTIUM	Polycystic ovarian syndrome, consortium definition	Endocrine, nutritional and metabolic diseases (E4_)	27943	162936	3
E4_PHOS_MET	Disorders of phosphorus metabolism and phosphatases	Endocrine, nutritional and metabolic diseases (E4_)	96	296380	1
E4_PITUDISNAS	Disorders of pituitary gland, other and/or unspecified	Endocrine, nutritional and metabolic diseases (E4_)	127	329091	0
E4_PLASMAPROT	Disorders of plasma-protein metabolism, not elsewhere classified	Endocrine, nutritional and metabolic diseases (E4_)	155	296380	4
E4_PORBILIR	Disorders of porphyrin and bilirubin metabolism	Endocrine, nutritional and metabolic diseases (E4_)	252	296380	2
E4_PRECOXCENTPUB	Precocious central puberty	Endocrine, nutritional and metabolic diseases (E4_)	158	329091	1
E4_PREPUB	Precocious puberty	Endocrine, nutritional and metabolic diseases (E4_)	110	329091	0
E4_PROTMALMODMILD	Protein-energy malnutrition of moderate and mild degree	Endocrine, nutritional and metabolic diseases (E4_)	167	342099	0
E4_PROTMALNAS	Unspecified protein-energy malnutrition	Endocrine, nutritional and metabolic diseases (E4_)	92	342099	0
E4_PUBDISNAS	Disorders of puberty, other/unspecified	Endocrine, nutritional and metabolic diseases (E4_)	96	329091	0
E4_SHORT	Short stature, not elsewhere classified	Endocrine, nutritional and metabolic diseases (E4_)	542	329091	0
E4_SPHINGOLIP	Disorders of sphingolipid metabolism and other lipid storage disorders	Endocrine, nutritional and metabolic diseases (E4_)	91	296380	6
E4_TALL	Constitutional tall stature	Endocrine, nutritional and metabolic diseases (E4_)	108	329091	0
E4_TESTICHYPO	Testicular hypofunction	Endocrine, nutritional and metabolic diseases (E4_)	496	147295	1
E4_THIA_DEF	Thiamine deficiency	Endocrine, nutritional and metabolic diseases (E4_)	125	323324	0
E4_THYROID	Disorders of the thyroid gland	Endocrine, nutritional and metabolic diseases (E4_)	50183	292316	112
E4_THYROIDITACU	Acute thyroiditis	Endocrine, nutritional and metabolic diseases (E4_)	95	292316	0
E4_THYROIDITAUTOIM	Autoimmune thyroiditis	Endocrine, nutritional and metabolic diseases (E4_)	437	292316	3
E4_THYROIDITCHRON	Chronic thyroiditis	Endocrine, nutritional and metabolic diseases (E4_)	96	292316	0
E4_THYROIDITNAS	Thyroiditis, unspecified	Endocrine, nutritional and metabolic diseases (E4_)	361	292316	3
E4_THYROIDITSUBAC	Subacute thyroiditis	Endocrine, nutritional and metabolic diseases (E4_)	681	292316	4
E4_THYROIDNASOTH	Disorder of thyroid, unspecified	Endocrine, nutritional and metabolic diseases (E4_)	258	292316	2
E4_THYTOXGOITDIF	Thyrotoxicosis with diffuse goitre	Endocrine, nutritional and metabolic diseases (E4_)	3971	292316	22
E4_THYTOXGOITMULT	Thyrotoxicosis with toxic multinodular goitre	Endocrine, nutritional and metabolic diseases (E4_)	1408	335290	12
E4_THYTOXNOD	Thyrotoxicosis with toxic single thyroid nodule	Endocrine, nutritional and metabolic diseases (E4_)	202	335290	2
E4_VIT_A_DEF	Vitamin A deficiency	Endocrine, nutritional and metabolic diseases (E4_)	106	323324	0
E4_VIT_B_DEF	Deficiency of other B group vitamins	Endocrine, nutritional and metabolic diseases (E4_)	525	323324	0
E4_VIT_D_DEF	Vitamin D deficiency	Endocrine, nutritional and metabolic diseases (E4_)	370	323324	0
E4_VOLUME	Volume depletion	Endocrine, nutritional and metabolic diseases (E4_)	2239	296380	0
EPILEPTIC_SEIZU_RELATED_DRUGS	Epileptic seizures related to drugs	Diseases of the nervous system (G6_)	83	342416	0
EPISEIZALCO	Epileptic seizures related to alcohol	Alcohol related diseases	149	342350	0
ERECTILE_DYSFUNCTION	Erectile dysfunction	Mental and behavioural disorders (F5_)	1973	149557	3
ESOSINOPHIL_DISEASE	Eosinophilic disease (BM)	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	359	195714	2
F5_ADHD	Disturbance of activity and attention	Mental and behavioural disorders (F5_)	1818	337243	3
F5_AGORAPHOBIA	Agoraphobia	Mental and behavioural disorders (F5_)	791	307558	0
F5_ALCOHOLAC	Acute alcohol intoxication	Mental and behavioural disorders (F5_)	8062	320852	2
F5_ALCOHOL_DEPENDENCE	Alcohol dependence	Mental and behavioural disorders (F5_)	9086	320852	1
F5_ALLANXIOUS	All anxiety disorders	Mental and behavioural disorders (F5_)	21519	307558	3
F5_ALZHDEMENT	Dementia in Alzheimer disease	Mental and behavioural disorders (F5_)	4406	325306	8
F5_ANAPER	Anankastic personality disorder	Mental and behavioural disorders (F5_)	905	332850	0
F5_ANOREX	Anorexia (incl.atypical)	Mental and behavioural disorders (F5_)	1685	333532	0
F5_ANXIETY	Other anxiety disorders	Mental and behavioural disorders (F5_)	14707	307558	2
F5_ANXPER	Anxious personality disorder	Mental and behavioural disorders (F5_)	483	332850	1
F5_BEHAVE	Behavioural syndromes associated with physiological disturbances and physical factors	Mental and behavioural disorders (F5_)	8967	333532	0
F5_BEHEMOCHILD	Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	Mental and behavioural disorders (F5_)	5256	337243	1
F5_BIPO	Bipolar affective disorders	Mental and behavioural disorders (F5_)	6321	299886	1
F5_BULIMIA	Bulimia nervosa (incl. atypical)	Mental and behavioural disorders (F5_)	908	333532	2
F5_CANNABIS	Mental and behavioural disorders due to cannabinoids	Mental and behavioural disorders (F5_)	875	336516	0
F5_DELIRIUM	Delirium, not induced by alcohol and other psychoactive substances	Mental and behavioural disorders (F5_)	2612	325306	2
F5_DELUSIO	Persistent delusional disorders	Mental and behavioural disorders (F5_)	2231	330132	1
F5_DEMENTIA	Dementia	Mental and behavioural disorders (F5_)	13517	325306	17
F5_DEMENTIA_INCLAVO	Dementia, including avohilmo	Mental and behavioural disorders (F5_)	14874	327625	17
F5_DEMINOTH	Dementia in other diseases classified elsewhere	Mental and behavioural disorders (F5_)	1029	325306	2
F5_DEMNAS	Unspecified dementia	Mental and behavioural disorders (F5_)	3240	325306	5
F5_DEPPER	Dependent personality disorder	Mental and behavioural disorders (F5_)	554	332850	1
F5_DEPRESSIO	Depression	Mental and behavioural disorders (F5_)	38225	299886	12
F5_DISPER	Dissocial personality disorder	Mental and behavioural disorders (F5_)	444	332850	0
F5_DISSOCIATIVE	Dissociative [conversion] disorders	Mental and behavioural disorders (F5_)	1022	307558	1
F5_EATOTH	Other eating disorders	Mental and behavioural disorders (F5_)	1368	333532	0
F5_EMOCHILD	Emotional disorders and disorders of social functioning with onset specific to childhood	Mental and behavioural disorders (F5_)	1422	337243	2
F5_EMOPER	Emotionally unstable personality disorder	Mental and behavioural disorders (F5_)	3812	332850	1
F5_GAD	Generalized anxiety disorder	Mental and behavioural disorders (F5_)	3923	307558	1
F5_GENDER	Gender identity disorders	Mental and behavioural disorders (F5_)	268	332850	0
F5_HABIT	Habit and impulse disorders	Mental and behavioural disorders (F5_)	414	332850	1
F5_HALLUCIN	Mental and behavioural disorders due to hallucinogens	Mental and behavioural disorders (F5_)	148	336516	0
F5_HISPER	Histrionic personality disorder	Mental and behavioural disorders (F5_)	132	332850	0
F5_HYPERKIN	Hyperkinetic disorders (excl. ADHD)	Mental and behavioural disorders (F5_)	403	337243	0
F5_HYPERSOMNIA	Hypersomnia	Mental and behavioural disorders (F5_)	327	337306	0
F5_INSOMNIA	Insomnia	Mental and behavioural disorders (F5_)	3514	337306	1
F5_KELAMENT	Kela-code for severe mental illness	Mental and behavioural disorders (F5_)	14605	326415	1
F5_KELARET	Kela-code for behavioural disturbances in mental retardation	Mental and behavioural disorders (F5_)	220	341375	2
F5_MANIA	Manic episode	Mental and behavioural disorders (F5_)	860	299886	0
F5_MENTALUNSPE	Mental disorders, not otherwise specified	Mental and behavioural disorders (F5_)	2334	326415	1
F5_MENTORG	Other mental disorders due to brain damage and dysfunction and to physical disease	Mental and behavioural disorders (F5_)	2581	325306	2
F5_MILDRET	Mild mental retardation	Mental and behavioural disorders (F5_)	687	341375	1
F5_MIXEDDEV	Mixed specific developmental disorders	Mental and behavioural disorders (F5_)	536	339113	1
F5_MIXPER	Mixed and other personality disorders	Mental and behavioural disorders (F5_)	2398	332850	0
F5_MODRET	Moderate mental retardation	Mental and behavioural disorders (F5_)	151	341375	1
F5_MOOD	Mood [affective] disorders	Mental and behavioural disorders (F5_)	42613	299886	12
F5_MOODOTH	Other and unspecified mood [affective] disorders	Mental and behavioural disorders (F5_)	1972	299886	0
F5_NEUROTICOTH	Other neurotic disorders	Mental and behavioural disorders (F5_)	1415	307558	1
F5_OCD	Obsessive-compulsive disorder	Mental and behavioural disorders (F5_)	1718	307558	0
F5_OPIOIDS	Mental and behavioural disorders due to opioids	Mental and behavioural disorders (F5_)	1013	336516	0
F5_OTHERSUB	Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psychoactive substances	Mental and behavioural disorders (F5_)	2131	336516	0
F5_OTHPER	Other specified and unspecified personality disorders	Mental and behavioural disorders (F5_)	2757	332850	0
F5_OTHRET	Other and unspecified mental retardation	Mental and behavioural disorders (F5_)	388	341375	0
F5_PANIC	Panic disorder	Mental and behavioural disorders (F5_)	4187	307558	0
F5_PARAPER	Paranoid personality disorder	Mental and behavioural disorders (F5_)	510	332850	1
F5_PERSBEHORG	Personality and behavioural disorders due to brain disease, damage and dysfunction	Mental and behavioural disorders (F5_)	376	325306	0
F5_PERSMOOD	Persistent mood disorders	Mental and behavioural disorders (F5_)	6120	299886	0
F5_PERSOCHANGE	Enduring personality changes	Mental and behavioural disorders (F5_)	110	332850	0
F5_PERSOTH	Other and unspecified disorders of adult personality and behaviour	Mental and behavioural disorders (F5_)	139	332850	1
F5_PERVASIVE	Pervasive developmental disorders excl. Autism + Asperger	Mental and behavioural disorders (F5_)	264	339113	0
F5_PHOBANX	Phobic anxiety disorders	Mental and behavioural disorders (F5_)	3791	307558	0
F5_PHYSBEHOTH	Unspecified behavioural syndromes associated with physiological disturbances and physical factors +Physiological and behavioural factors associated with disorders of diseases classified elsewhere	Mental and behavioural disorders (F5_)	422	333532	1
F5_PSYCHDEV	Disorders of psychological development	Mental and behavioural disorders (F5_)	3386	339113	0
F5_PSYCHDEVOTH	Other and unspecified disorders of psychological development	Mental and behavioural disorders (F5_)	264	339113	2
F5_PSYCHOTH	Other and unspecified nonorganic psychotic disorders	Mental and behavioural disorders (F5_)	7137	330132	1
F5_PSYTRANS	Acute and transient psychotic disorders	Mental and behavioural disorders (F5_)	4025	330132	1
F5_PTSD	Post-traumatic stress disorder	Mental and behavioural disorders (F5_)	1942	307558	1
F5_SCHIZOAFF	Schizoaffective disorder	Mental and behavioural disorders (F5_)	2615	330132	0
F5_SCHIZOTYP	Schizotypal disorder	Mental and behavioural disorders (F5_)	773	330132	2
F5_SCHIZPER	Schizoid personality disorder	Mental and behavioural disorders (F5_)	517	332850	2
F5_SCHOLA	Specific development disorders of scholastic skills	Mental and behavioural disorders (F5_)	1044	339113	0
F5_SCHZPHR	Schizophrenia	Mental and behavioural disorders (F5_)	6280	330132	0
F5_SEDAHYP	Mental and behavioural disorders due to sedatives or hypnotics	Mental and behavioural disorders (F5_)	1932	336516	0
F5_SEXDYS	Sexual dysfunction	Mental and behavioural disorders (F5_)	264	333532	0
F5_SLEEPWAKE	Disorder of the sleep-wake schedule	Mental and behavioural disorders (F5_)	368	337306	0
F5_SLEEP_NOS	Sleep disorders, other/unspecified	Mental and behavioural disorders (F5_)	656	337306	0
F5_SOCPHOB	Social phobias	Mental and behavioural disorders (F5_)	2151	307558	0
F5_SOMATOFORM	Somatoform disorder	Mental and behavioural disorders (F5_)	4557	307558	0
F5_SPEECH	Specific development disorders of speech and language	Mental and behavioural disorders (F5_)	1449	339113	0
F5_STIMUL	Mental and behavioural disorders due to use of other stimulants, including caffeine	Mental and behavioural disorders (F5_)	791	336516	1
F5_STRESSOTH	Other reaction to severe stress, and adjustment disorders	Mental and behavioural disorders (F5_)	12309	307558	1
F5_SUBSNOALCO	Substance use, excluding alcohol	Mental and behavioural disorders (F5_)	5983	320852	1
F5_UNSORG	Unspecified organic or symptomatic mental disorder	Mental and behavioural disorders (F5_)	83	325306	0
F5_VASCDEM	Vascular dementia	Mental and behavioural disorders (F5_)	2048	328982	1
FALLS	Falls/tendency to fall	Miscellaneous, not yet classified endpoints	1978	340521	0
FE	Focal epilepsy	Diseases of the nervous system (G6_)	5922	332145	1
FELTY	Felty syndrome	Rheuma endpoints	141	334220	1
FE_MODE	Focal epilepsy, mode (most common among epilepsy diagnosis)	Diseases of the nervous system (G6_)	1132	332145	0
FE_STRICT	Focal epilepsy, strict definition	Diseases of the nervous system (G6_)	5363	332143	1
FG_CARDMYO	Cardiomyopathy (excluding other)	Cardiometabolic endpoints	3833	244220	36
FG_CEREBVASC	Cerebrovascular diseases (FINNGEN)	Diseases of the circulatory system (I9_)	25899	168000	15
FG_CVD	Cardiovascular diseases (excluding rheumatic etc)	Cardiometabolic endpoints	174499	168000	65
FG_DOAAC	Diseases of arteries, arterioles and capillaries (FINNGEN)	Diseases of the circulatory system (I9_)	19769	168000	19
FG_OTHHEART	Other heart diseases	Cardiometabolic endpoints	98279	168000	48
FIBROLIV	Fibrosis of liver	Gastrointestinal endpoints	130	338951	0
FTD	Frontotemporal dementia	Neurological endpoints	99	328323	1
FTD_WIDE	Frontotemporal dementia, wide, incl. Pick's disease	Neurological endpoints	118	328323	0
G6_AD_WIDE	Alzheimer’s disease, wide definition	Diseases of the nervous system (G6_)	10839	331660	19
G6_ALCODEGEN	Degeneration of the brain due to alcohol	Diseases of the nervous system (G6_)	533	333555	0
G6_ALCOPOLY	Alcohol induced polyneuropathy	Diseases of the nervous system (G6_)	224	336784	0
G6_ALS	Motor neuron disease	Diseases of the nervous system (G6_)	431	159840	4
G6_ALZHEIMER	Alzheimer disease	Diseases of the nervous system (G6_)	7759	334740	11
G6_ANOXBRAINDAM	Anoxic brain damage	Diseases of the nervous system (G6_)	335	318912	0
G6_ATROPHCIRCUM	Circumscribed brain atrophy	Diseases of the nervous system (G6_)	412	333555	1
G6_ATYFAC	Atypical facial pain	Diseases of the nervous system (G6_)	1212	301193	0
G6_AUTONOM	Autonomic disorders	Diseases of the nervous system (G6_)	486	318912	2
G6_BASDEGENOTH	Other degenerative diseases of the basal ganglia	Diseases of the nervous system (G6_)	246	333858	0
G6_BELLPA	Bell's palsy	Diseases of the nervous system (G6_)	2991	301193	1
G6_BENINTRAHYP	Benign intracranial hypertension	Diseases of the nervous system (G6_)	197	318912	0
G6_BRACHPLE	Brachial plexus disorders	Diseases of the nervous system (G6_)	2402	301193	0
G6_CARPTU	Carpal tunnel syndrome	Diseases of the nervous system (G6_)	19712	301193	35
G6_CAUDA	Cauda equina syndrome	Diseases of the nervous system (G6_)	267	339360	0
G6_CAUSALGIA	Causalgia	Diseases of the nervous system (G6_)	382	301193	1
G6_CERCYST	Cerebral cysts	Diseases of the nervous system (G6_)	1374	318912	0
G6_CERVROOT	Cervical root disorders	Diseases of the nervous system (G6_)	177	301193	1
G6_CLUSTHEADACHE_STRICT_INCLAVO	Cluster headache, strict, including avohilmo	Diseases of the nervous system (G6_)	1120	341379	0
G6_CLUSTHEADACHE_WIDE	Cluster headache, wide	Diseases of the nervous system (G6_)	973	264662	1
G6_CNSABSC	Intracranial and intraspinal abscess and granuloma	Diseases of the nervous system (G6_)	251	340340	0
G6_CNSOTH	Other disorders of central nervous system	Diseases of the nervous system (G6_)	254	318912	1
G6_CP	Cerebral palsy	Diseases of the nervous system (G6_)	447	339360	0
G6_CPETAL	Cerebral palsy and other paralytic syndromes	Diseases of the nervous system (G6_)	3139	339360	0
G6_DEGENOTH	Other and unspecified degenerative diseases of nervous system	Diseases of the nervous system (G6_)	465	333555	4
G6_DEGENSEN	Senile degeneration of the brain, not elsewhere classified	Diseases of the nervous system (G6_)	86	333555	0
G6_DISBROTHUNS	Disorders of brain, other and unspecified	Diseases of the nervous system (G6_)	229	318912	0
G6_DISOTHUNS	Disorders of other and unspecified cranial nerves	Diseases of the nervous system (G6_)	128	301193	1
G6_DISSOTH	Other acute disseminated demyelination	Diseases of the nervous system (G6_)	245	340219	1
G6_DRUGPOLY	Drug-induced polyneuropathy	Diseases of the nervous system (G6_)	177	336784	0
G6_DYSTON	Dystonia	Diseases of the nervous system (G6_)	1320	333858	2
G6_ENCEPATH	Encephalopathy	Diseases of the nervous system (G6_)	225	318912	0
G6_ENCEPHOTH	Other encephalitis	Diseases of the nervous system (G6_)	620	340340	0
G6_EPIPAROX	Episodal and paroxysmal disorders	Diseases of the nervous system (G6_)	77837	264662	14
G6_EPLEPSY	Epilepsy	Diseases of the nervous system (G6_)	10354	264662	0
G6_FACOTH	Other facial nerve disorders	Diseases of the nervous system (G6_)	665	301193	1
G6_FEMLAPOP	Lesion of lateral popliteal nerve	Diseases of the nervous system (G6_)	1154	301193	0
G6_FEMLE	Lesion of femoral nerve	Diseases of the nervous system (G6_)	186	301193	0
G6_GUILBAR	Guillain-Barre syndrome	Diseases of the nervous system (G6_)	369	336784	0
G6_HCCOMM	Communicating hydrocephalus	Diseases of the nervous system (G6_)	363	341117	0
G6_HCINOTH	Hydrocephalus in other diseases	Diseases of the nervous system (G6_)	126	341117	1
G6_HCNP	Normal-pressure hydrocephalus	Diseases of the nervous system (G6_)	660	341117	1
G6_HCOBSTR	Obstructive hydrocephalus	Diseases of the nervous system (G6_)	315	341117	0
G6_HCOTHUNS	Other and unspecified hydrocephalus	Diseases of the nervous system (G6_)	331	341117	0
G6_HEADACHE	Other headache syndromes	Diseases of the nervous system (G6_)	13926	264662	1
G6_HEMIPLE	Hemiplegia	Diseases of the nervous system (G6_)	1380	339360	1
G6_HERATAXIA	Hereditary ataxia	Diseases of the nervous system (G6_)	305	341515	1
G6_HEREMOSEN	Hereditary motor and sensory neuropathy	Diseases of the nervous system (G6_)	196	336784	2
G6_HERIPOTHUN	Other and unspecified neuropathies	Diseases of the nervous system (G6_)	98	336784	0
G6_HORNER	Horner syndrome	Diseases of the nervous system (G6_)	276	342013	0
G6_HYDROCEPH	Hydrocephalus	Diseases of the nervous system (G6_)	1382	318912	1
G6_ICNEUROP	Intercostal neuropathy	Diseases of the nervous system (G6_)	178	301193	0
G6_IDIOAUT	Idiopathic peripheral autonomic neuropathy	Diseases of the nervous system (G6_)	81	342013	0
G6_LSROOT	Lumbosacral root disorders, not elsewhere classified	Diseases of the nervous system (G6_)	328	301193	0
G6_MEDLEOTH	Other lesions of median nerve	Diseases of the nervous system (G6_)	645	301193	0
G6_MENINGBACT	Bacterial meningitis	Diseases of the nervous system (G6_)	877	340340	0
G6_MENINGOTH	Other meningitis	Diseases of the nervous system (G6_)	356	340340	0
G6_MENINGVIR	Viral meningitis	Diseases of the nervous system (G6_)	91	340340	0
G6_MERALGIA	Meralgia paraesthetica	Diseases of the nervous system (G6_)	730	301193	1
G6_MIGRAINE	Migraine	Diseases of the nervous system (G6_)	15905	264662	4
G6_MIGRAINE_NO_AURA	Migraine without aura	Diseases of the nervous system (G6_)	5787	264662	2
G6_MIGRAINE_NO_AURA_ADVERSE	Migraine without aura, drug-induced	Diseases of the nervous system (G6_)	284	342215	0
G6_MIGRAINE_NO_AURA_TRIPTAN	Migraine without aura and triptan purchases	Diseases of the nervous system (G6_)	4247	308114	4
